screen_name,content,link,datetime
G_Akky304250,おっと🏔<br><br>大阪サテライトからまたアクセス来たってホント！？🌊<br>すごいね！！！<br><br>#いきづらい部,https://x.com/G_Akky304250/status/1929794176998093187,1748933760
G_Akky304250,これだったら２チーム作るのもアリなんじゃないかな？<br>んー<br>なんか吹奏楽部みたいな感じ？<br><br>全体もあるけどアンサンブルもある<br><br>みたいな🚵<br><br>#いきづらい部,https://x.com/G_Akky304250/status/1929794931817632155,1748933940
G_Akky304250,もちろん、みんなで一緒にやれるときは一緒にやりたいけど<br>物理的に距離があるからね🌊<br><br>ダンスは遠距離厳しいし<br><br>にしても大阪サテライトチーム<br>なんかメンバー見た目強いな🏔<br><br>#いきづらい部,https://x.com/G_Akky304250/status/1929795687228887227,1748934120
G_Akky304250,よぅし<br>私も負けないように🚵<br><br>今日の筋トレは上半身メインで<br><br>・ダンベルフライ<br>・ショルダーレイズ<br>・サイドレイズ<br>・スパイダーカール<br>・ダンベルプルオーバー<br><br>最後にマウンテンクライマーも入れとこっか🏔<br><br>３０秒１セットで３セット💪<br>みんなも良かったら一緒にやってみてね<br><br>#いきづらい部,https://x.com/G_Akky304250/status/1929796442350088493,1748934300
G_Akky304250,雨の日が増えたね<br>風邪が流行ってるけどみんな無事かな？<br><br>喉が痛い子は早めに寝ること！<br><br>試合の前はいつもマスクして寝るようにしてる<br>けっこう効果ある感じがするからおすすめだよ🌊<br>#いきづらい部,https://x.com/G_Akky304250/status/1933081588973347224,1749717540
G_Akky304250,雨が降るとロードができなくて困るんだけど🚵<br>最近はその分いきづらい部の練習で<br>運動量を少しは補えてる。。。<br>といいんだけど<br>#いきづらい部,https://x.com/G_Akky304250/status/1933082343675416951,1749717720
G_Akky304250,ダンスをやるようになって<br>最近いろんな曲を聴くようになった🌊<br>アイドルの曲とかあんまり聴いたことがなかったけど<br>すごくいい歌がいっぱいあるんだなって思った<br>スクールアイドルを始めるきっかけになったあの歌も🚵<br><br>もしおすすめの曲があったら教えてください！<br>#いきづらい部,https://x.com/G_Akky304250/status/1933083098675118286,1749717900
G_Akky304250,チュン先生ってもしかして<br>4月に湯島の近くの学校で出会ったあの先生のこと？<br>名前全然違うし<br><br>たしかになんかチュンって言ってたけど🏔<br><br>あと出会ったっていうか<br>どっちかって言うと<br>見つかっちゃった！！<br>っていう状況だったけど🏔<br>#いきづらい部,https://x.com/G_Akky304250/status/1935589866747658299,1750315560
G_Akky304250,噂話程度の情報だったのに<br>いきなりポルカが勝手にどんどん<br>学校の敷地内に入って行っちゃうから<br><br>あの時は結構焦った🌊<br>#いきづらい部,https://x.com/G_Akky304250/status/1935590621823283683,1750315740
G_Akky304250,最初に見つかったのがあんなみるからに優しそうな先生で良かったけど<br>警備員さんとかだったら結構怒られてたと思うな<br>私たち制服じゃないから<br>たぶんちょっと怪しさアップだったし🏔<br>#いきづらい部,https://x.com/G_Akky304250/status/1935591376269484050,1750315920
G_Akky304250,あんな風に実際にスクールアイドル活動をしたことで<br>入学者が増えて賑やかになった学校があるなんて<br>なんかワクワクするし<br>力もらえるよね💪✨<br>#いきづらい部,https://x.com/G_Akky304250/status/1935592131285905428,1750316100
G_Akky304250,自分たちにも何か本当にできるのかもしれないなって<br>今はまだまだ<br>だいぶポンコツ気味だけど🌊<br><br>今度実家に帰る時にはシーパラダイスの方も行ってみようかな🚵<br>何か参考にできること探してみたい  <br>#いきづらい部,https://x.com/G_Akky304250/status/1935592886172594586,1750316280
G_Akky304250,L高の動画授業の小テストは<br>毎回全部の動画に必ずついているってわけじゃなくて<br>重要単元のみ🏔<br><br>クリアできなかった人用にまとめファイルもあるから<br>全部視聴し直しってことにはならないし<br>テストのところだけこれからやればいいよ🚵<br>#いきづらい部,https://x.com/G_Akky304250/status/1938165840899084432,1750929720
G_Akky304250,って言ったら<br>「でもそのテストが～！！！」って涙目で大騒ぎして<br>麻衣にチョコもらってたポルカ🌻<br><br>もしかしてそういう作戦だったりして🍫<br>だったらすごいけど！<br>#いきづらい部,https://x.com/G_Akky304250/status/1938166595169489150,1750929900
G_Akky304250,でもポルカって国語とかは普通にできて<br>苦手なのは算数。。。じゃなかった<br>数学だけだって言ってたから<br>あとは回数頑張ればいいんだと思うな<br>だって小テスト毎回三択選ぶだけだもん🏔<br>#いきづらい部,https://x.com/G_Akky304250/status/1938167350512984522,1750930080
G_Akky304250,間違えて合格点取れなかったらやり直せばいいだけで🌊<br><br>分からなくても総当たり方式で繰り返せば<br>いつか絶対にゴールにたどり着くはず！<br><br>なかなか良い仕組みだと思う🚵<br>#いきづらい部,https://x.com/G_Akky304250/status/1938168105575874573,1750930260
